"order","RAP.locus","TIGR.locus","ProbeName","cluster_22K_KMC","Symbol","RAP.description"
1,"Os10g0524500","LOC_Os10g38050","A_71_P123510","Cluster2","NP1","Mandelonitrile lyase-like protein."
2,"Os08g0442400","LOC_Os08g34360","A_71_P120735","Cluster2","LFS","BABY BOOM."
3,"Os04g0570600","LOC_Os04g48210","A_71_P112226","Cluster2",NA,"Cytochrome P450 family protein."
4,"Os11g0215400","LOC_Os11g10910","A_71_P124664","Cluster2","_","Peptidase A1, pepsin family protein."
5,"Os10g0484800","LOC_Os10g34360","A_71_P123728","Cluster2","LAP6","Anther-specific protein YY2."
6,"Os04g0543700","LOC_Os04g45960","A_71_P112142","Cluster2","MSP","Meiotic serine proteinase."
7,"Os09g0452800","LOC_Os09g27940","A_71_P121741","Cluster2",NA,"Peptidase A1, pepsin family protein."
8,"Os04g0404400","LOC_Os04g33150","A_71_P113253","Cluster2","_","Bipartite response regulator, C-terminal effector domain containing protein."
9,"Os02g0110000","LOC_Os02g01980","A_71_P105015","Cluster2","GELP30","Lipolytic enzyme, G-D-S-L family protein."
10,"Os03g0769500","LOC_Os03g55960","A_71_P109715","Cluster2","_","Calcium-binding EF-hand domain containing protein."
11,"Os09g0539800","LOC_Os09g36860","A_71_P122732","Cluster15",NA,"Acyl carrier protein III, chloroplast precursor (ACP III)."
12,"Os01g0889400","LOC_Os01g66590","A_71_P102796","Cluster15","IG1","LOB domain protein 6 (ASYMMETRIC LEAVES2)."
13,"Os08g0442200","LOC_Os08g34330","A_71_P120647","Cluster15","STRL14","Strictosidine synthase family protein."
14,"Os01g0647000","LOC_Os01g45900","A_71_P101389","Cluster15","_","Cyclin-like F-box domain containing protein."
15,"Os04g0475600","LOC_Os04g39980","A_71_P111140","Cluster15","DAO","2OG-Fe(II) oxygenase domain containing protein."
16,"Os03g0261100","LOC_Os03g15460","A_71_P109441","Cluster15","_","Phospholipase A2 family protein."
17,"Os09g0456800","LOC_Os09g28354","A_71_P122746","Cluster15","HSFB1","Heat stress transcription factor Spl7 (Heat shock transcription factor) (Heat shock factor RHSF10)."
18,"Os11g0156200","LOC_Os11g05760","A_71_P124982","Cluster15","_","Peptidase S28 family protein."
19,"Os05g0529700","LOC_Os05g45350","A_71_P113979","Cluster15","_","Heat shock protein DnaJ family protein."
20,"Os02g0695800","LOC_Os02g46850","A_71_P107132","Cluster15","_","Oligopeptide transporter OPT superfamily protein."
21,"Os01g0591000","LOC_Os01g40860","A_71_P100898","Cluster15","ALDH1A","Cytosolic aldehyde dehydrogenase."
22,"Os02g0823400","LOC_Os02g57760","A_71_P104075","Cluster15","COMTL4","S-adenosyl-L-methionine: beta-alanine N-methyltransferase (Fragment)."
23,"Os07g0150700","LOC_Os07g05620","A_71_P117629","Cluster15","CIPK23","Serine/threonine kinase."
24,"Os11g0499600","LOC_Os11g30560","A_71_P124764","Cluster15","DRP7","Short-chain dehydrogenase/reductase SDR family protein."
25,"Os01g0112400","LOC_Os01g02190","A_71_P101257","Cluster15","NIP4;1","Major intrinsic protein family protein."
26,"Os01g0127500","LOC_Os01g03670","A_71_P100605","Cluster15","TKPR2","Conserved hypothetical protein."
27,"Os06g0610800","LOC_Os06g40818","A_71_P116512","Cluster15",NA,"Peptidase A1, pepsin family protein."
28,"Os03g0605300","LOC_Os03g40830","A_71_P108842","Cluster15","SUB30","Subtilisin-like protease (Fragment)."
29,"Os09g0493500","LOC_Os09g32020","A_71_P121466","Cluster15","DFR2","Conserved hypothetical protein."
30,"Os04g0613200","LOC_Os04g52320","A_71_P113118","Cluster15",NA,"Pectin lyase-like family protein."
31,"Os08g0135500","LOC_Os08g04140","A_71_P121263","Cluster15",NA,"Conserved hypothetical protein."
32,"Os04g0645600","LOC_Os04g55260","A_71_P110889","Cluster15",NA,"Conserved hypothetical protein."
33,"Os07g0664600","LOC_Os07g46950","A_71_P117865","Cluster15","RMP8","Short-chain dehydrogenase/reductase SDR family protein."
34,"Os09g0530200","LOC_Os09g36060","A_71_P122255","Cluster15","GH9B14","CMCase; cellulase; endo-1,4-beta-D-glucanase (Fragment)."
35,"Os08g0131100","LOC_Os08g03682","A_71_P120838","Cluster15","CYP703A3","Cytochrome P450."
36,"Os05g0428600","LOC_Os05g35400","A_71_P114978","Cluster15","BIP4","HSP70 precursor."
