"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os01g0100100","Os01g0100100","Os01t0100100-01",56.4164097809384,61.8044119179015,5.8838404387157,0.131594969990544,0.131594969990544,0.125922939263578,0.297387648635347,18984,0,"NS",FALSE
"Os01g0100200","Os01g0100200","Os01t0100200-01",0.419320641893794,0.641247922971257,-0.947460045263746,0.612828396308578,0.612828396308578,0.162760310841656,0.35493719559344,20563,0,"NS",FALSE
"Os01g0100300","Os01g0100300","Os01t0100300-00",0,0,-6.47842536124147,-1.1895279891416,-1.1895279891416,1,1,43851.5,0,"NS",TRUE
"Os01g0100400","Os01g0100400","Os01t0100400-01",17.0585069523567,18.670124796879,4.15753957046724,0.13024019087117,0.13024019087117,0.510045968613637,0.718860564073314,31768,0,"NS",FALSE
"Os01g0100466","Os01g0100466","Os01t0100466-00",0,0.0628467668253143,-6.47842536124147,0.891643703481798,0.891643703481798,0.120146915389948,0.287567924818884,18550.5,0,"NS",FALSE
"Os01g0100500","Os01g0100500","Os01t0100500-01",63.9616121328343,51.1220755807598,5.83750445166074,-0.323259890379108,-0.323259890379108,0.00943508718039382,0.0484825311696551,8727,1,"down",FALSE
"Os01g0100600","Os01g0100600","Os01t0100600-01",59.7134898327211,31.0006778177914,5.42710641806177,-0.945757126725558,-0.945757126725558,1.71115854272383e-05,0.000346434283024413,2215,1,"down",FALSE
"Os01g0100650","Os01g0100650","Os01t0100650-00",0.199084606746828,0.097462716980412,-2.84377608370876,-1.03045932956829,-1.03045932956829,0.329682406412337,0.54560575533287,27067,0,"NS",TRUE
"Os01g0100700","Os01g0100700","Os01t0100700-01",527.832682842592,482.559612489311,8.97925011916164,-0.129373508394311,-0.129373508394311,0.219727109048498,0.428615532566482,22989,0,"NS",FALSE
"Os01g0100800","Os01g0100800","Os01t0100800-01",93.7805553937281,74.9676202412934,6.3897063095537,-0.323021216893234,-0.323021216893234,0.00127308983996906,0.0106056921388766,5383,1,"down",FALSE
"Os01g0100900","Os01g0100900","Os01t0100900-01",342.476777121875,234.513444524994,8.14669458889555,-0.546335530214204,-0.546335530214204,0.00127494977196454,0.0106152706227215,5386,1,"down",FALSE
"Os01g0101150","Os01g0101150","Os01t0101150-00",0,0.0785457246679206,-6.47842536124147,1.21333792703984,1.21333792703984,0.120146922422088,0.287567924818884,18619,0,"NS",TRUE
"Os01g0101175","Os01g0101175","Os01t0101175-00",0,0.0267339090614925,-6.47842536124147,-0.341524017648146,-0.341524017648146,0.271788134285379,0.481258985105705,24914,0,"NS",FALSE
"Os01g0101200","Os01g0101200","Os01t0101200-01",22.8431909758069,23.3721135830006,4.5302042954282,0.0330240100639161,0.0330240100639161,0.843730587640418,0.96817437236814,39080,0,"NS",FALSE
"Os01g0101200.1","Os01g0101200","Os01t0101200-02",42.7481338058209,43.9034959573864,5.43702672652517,0.0384743838799375,0.0384743838799375,0.589132546061129,0.784201417061693,33688,0,"NS",FALSE
"Os01g0101300","Os01g0101300","Os01t0101300-01",37.0526981969845,36.5555761793837,5.20176314264254,-0.0194871128270195,-0.0194871128270195,0.988106473906263,1,42540,0,"NS",FALSE
"Os01g0101600","Os01g0101600","Os01t0101600-01",36.801026884018,36.4131341707687,5.19403056783172,-0.0152871007960078,-0.0152871007960078,0.927961315301608,1,41179,0,"NS",FALSE
"Os01g0101600.1","Os01g0101600","Os01t0101600-02",37.9760690736419,39.4204756726641,5.2739459768516,0.0538546060059799,0.0538546060059799,0.459384365406608,0.673047323650481,30608,0,"NS",FALSE
"Os01g0101600.2","Os01g0101600","Os01t0101600-03",35.9143467819891,37.6216660223681,5.19999010173516,0.0670034622822682,0.0670034622822682,0.592513887121111,0.787046586316917,33760,0,"NS",FALSE
"Os01g0101700","Os01g0101700","Os01t0101700-00",15.0622922248689,15.4077493314193,3.92922683372239,0.0327147969060184,0.0327147969060184,0.930390288996161,1,41231,0,"NS",FALSE
"Os01g0101800","Os01g0101800","Os01t0101800-01",8.20877521853661,12.5421508553667,3.34293992726868,0.611545889936185,0.611545889936185,0.0645073980127953,0.190614770459,15176,0,"NS",FALSE
"Os01g0101850","Os01g0101850","Os01t0101850-00",0.100357812426856,0.331745166229765,-2.45431390821706,1.72492251590818,1.72492251590818,0.0576720107021069,0.175535756719443,14721,0,"NS",TRUE
"Os01g0101900","Os01g0101900","Os01t0101900-00",0.18032288951752,0.223834717736847,-2.31541991454835,0.311851283194708,0.311851283194708,0.464011577325628,0.677149857774751,30706,0,"NS",FALSE
"Os01g0102000","Os01g0102000","Os01t0102000-01",31.7914829178659,32.4021856409283,5.00429381687248,0.0274508184828042,0.0274508184828042,0.774235017683665,0.923423365860961,37599,0,"NS",FALSE
"Os01g0102300","Os01g0102300","Os01t0102300-01",5.14484020364479,6.68235386450495,2.55174132554255,0.377230114335181,0.377230114335181,0.397673217065616,0.61625748587708,28920,0,"NS",FALSE
"Os01g0102400","Os01g0102400","Os01t0102400-01",0.363749131625151,0.0266242890353677,-3.34504874004109,-3.77212889809317,-3.77212889809317,0.025932322456076,0.10091193869774,11518,0,"NS",TRUE
"Os01g0102500","Os01g0102500","Os01t0102500-01",31.6999141147523,37.7813808682886,5.1130052765208,0.253196499975297,0.253196499975297,0.135843722786939,0.313782626179947,19414,0,"NS",FALSE
"Os01g0102600","Os01g0102600","Os01t0102600-01",18.4478113595772,20.5557524348923,4.28342401881066,0.156092516411462,0.156092516411462,0.443531991081066,0.660679242917766,30105,0,"NS",FALSE
"Os01g0102600.1","Os01g0102600","Os01t0102600-02",11.0950853569711,9.59051907574631,3.36672888149822,-0.210239959884216,-0.210239959884216,0.473833420830293,0.686501225242752,30952,0,"NS",FALSE
"Os01g0102700","Os01g0102700","Os01t0102700-01",529.143882612815,638.278157230039,9.18277886224633,0.270525210255357,0.270525210255357,0.00218280988251761,0.0159944324136634,6120,1,"up",FALSE
"Os01g0102800","Os01g0102800","Os01t0102800-01",51.7723669089064,45.4054552167381,5.59945205294381,-0.189316636440227,-0.189316636440227,0.0549143845169331,0.171095717312398,14393,0,"NS",FALSE
"Os01g0102850","Os01g0102850","Os01t0102850-00",6.76935823672241,7.16811345778482,2.80030626976626,0.0825744059304148,0.0825744059304148,0.812547388996762,0.948804163945703,38404,0,"NS",FALSE
"Os01g0102900","Os01g0102900","Os01t0102900-01",273.398326114937,194.76607617678,7.85022960210983,-0.489261995430813,-0.489261995430813,0.08854292718283,0.235575142485128,16855,0,"NS",FALSE
"Os01g0103000","Os01g0103000","Os01t0103000-01",72.1837034051619,100.406807635934,6.41165726788995,0.476112019989308,0.476112019989308,0.00304024976685297,0.0205822706136405,6624,1,"up",FALSE
"Os01g0103050","Os01g0103050","Os01t0103050-01",0.344647054894787,0.64637074870123,-1.08318729588359,0.907242223733277,0.907242223733277,0.276704474248738,0.487354598924254,25461,0,"NS",FALSE
