"definition","level","region","count","note"
"FDR","feature","myb80_down (total)",5291,""
"FDR","feature","tdr_down (total)",6285,""
"FDR","feature","both_down (total)",3787,""
"FDR","feature","myb80 only",1504,"HT set not applied"
"FDR","feature","tdr only",2498,"HT set not applied"
"FDR","feature","myb80 & tdr only",3787,"HT set not applied"
"FDR","feature","all three (HOT)",NA,""
"FDR","feature","myb80 & HT only",NA,""
"FDR","feature","tdr & HT only",NA,""
"FDR","feature","HT only",NA,""
"FDR","feature","HT (total)",NA,""
"FDR","gene","myb80_down (total)",4669,""
"FDR","gene","tdr_down (total)",5611,""
"FDR","gene","both_down (total)",3393,""
"FDR","gene","myb80 only",1276,"HT set not applied"
"FDR","gene","tdr only",2218,"HT set not applied"
"FDR","gene","myb80 & tdr only",3393,"HT set not applied"
"FDR","gene","all three (HOT)",NA,""
"FDR","gene","myb80 & HT only",NA,""
"FDR","gene","tdr & HT only",NA,""
"FDR","gene","HT only",NA,""
"FDR","gene","HT (total)",NA,""
"FDR_FC1","feature","myb80_down (total)",3274,""
"FDR_FC1","feature","tdr_down (total)",2947,""
"FDR_FC1","feature","both_down (total)",1992,""
"FDR_FC1","feature","myb80 only",1282,"HT set not applied"
"FDR_FC1","feature","tdr only",955,"HT set not applied"
"FDR_FC1","feature","myb80 & tdr only",1992,"HT set not applied"
"FDR_FC1","feature","all three (HOT)",NA,""
"FDR_FC1","feature","myb80 & HT only",NA,""
"FDR_FC1","feature","tdr & HT only",NA,""
"FDR_FC1","feature","HT only",NA,""
"FDR_FC1","feature","HT (total)",NA,""
"FDR_FC1","gene","myb80_down (total)",2982,""
"FDR_FC1","gene","tdr_down (total)",2773,""
"FDR_FC1","gene","both_down (total)",1865,""
"FDR_FC1","gene","myb80 only",1117,"HT set not applied"
"FDR_FC1","gene","tdr only",908,"HT set not applied"
"FDR_FC1","gene","myb80 & tdr only",1865,"HT set not applied"
"FDR_FC1","gene","all three (HOT)",NA,""
"FDR_FC1","gene","myb80 & HT only",NA,""
"FDR_FC1","gene","tdr & HT only",NA,""
"FDR_FC1","gene","HT only",NA,""
"FDR_FC1","gene","HT (total)",NA,""
