"order","RAP.locus","Symbol","cluster_22K_KMC","myb80_log2FC","myb80_q.value","myb80_down_FDR","myb80_down_FDR_FC1","myb80_down_FDR_FC1_anyTranscript","tdr_log2FC","tdr_q.value","tdr_down_FDR","tdr_down_FDR_FC1","tdr_down_FDR_FC1_anyTranscript","both_down_FDR_FC1","both_down_FDR_FC1_anyTranscript","in_HT71"
1,"Os10g0524500","NP1","Cluster2",-5.09178287353157,3.86068959659836e-05,TRUE,TRUE,TRUE,-2.50449327215569,0.00127931288852963,TRUE,TRUE,TRUE,TRUE,TRUE,NA
2,"Os08g0442400","LFS","Cluster2",-3.92652630295573,4.11682101003429e-06,TRUE,TRUE,TRUE,-3.18296735772031,2.42636145314979e-08,TRUE,TRUE,TRUE,TRUE,TRUE,NA
3,"Os04g0570600",NA,"Cluster2",-4.20121687864569,3.57198514474875e-06,TRUE,TRUE,TRUE,-3.36722682843217,2.16284218754662e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
4,"Os11g0215400","_","Cluster2",-4.42806641055365,1.00392488337531e-06,TRUE,TRUE,TRUE,-3.2652531663651,1.22453532632567e-07,TRUE,TRUE,TRUE,TRUE,TRUE,NA
5,"Os10g0484800","LAP6","Cluster2",-4.7809954159981,2.84704172068145e-07,TRUE,TRUE,TRUE,-2.97910571385552,3.07678807856779e-07,TRUE,TRUE,TRUE,TRUE,TRUE,NA
6,"Os04g0543700","MSP","Cluster2",-4.32890433017745,1.59219307925304e-06,TRUE,TRUE,TRUE,-3.17314478853288,5.29804945762655e-08,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7,"Os09g0452800",NA,"Cluster2",-4.6775139198986,0.000238932780960645,TRUE,TRUE,TRUE,-3.07736633577932,9.26169302083793e-05,TRUE,TRUE,TRUE,TRUE,TRUE,NA
8,"Os04g0404400","_","Cluster2",-1.78126755583927,0.00449227783287236,TRUE,TRUE,TRUE,-2.54764284871573,1.32897239190372e-06,TRUE,TRUE,TRUE,TRUE,TRUE,NA
9,"Os02g0110000","GELP30","Cluster2",-4.90212675152637,1.26083043337211e-05,TRUE,TRUE,TRUE,-2.98755303972133,3.47005511235727e-05,TRUE,TRUE,TRUE,TRUE,TRUE,NA
10,"Os03g0769500","_","Cluster2",-5.05241471186697,1.59219307925304e-06,TRUE,TRUE,TRUE,-3.95623872254133,6.15139523322023e-10,TRUE,TRUE,TRUE,TRUE,TRUE,NA
11,"Os09g0539800",NA,"Cluster15",-1.85010376098928,0.000585463300508444,TRUE,TRUE,TRUE,-1.62268648639809,6.98949975722249e-06,TRUE,TRUE,TRUE,TRUE,TRUE,NA
12,"Os01g0889400","IG1","Cluster15",-2.52551923978518,3.51997377211902e-05,TRUE,TRUE,TRUE,-2.17303922680653,2.55811824216583e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
13,"Os08g0442200","STRL14","Cluster15",-3.40531867469901,0.000465724119180216,TRUE,TRUE,TRUE,-3.86922446944028,7.75032824565663e-12,TRUE,TRUE,TRUE,TRUE,TRUE,NA
14,"Os01g0647000","_","Cluster15",-3.79013611552247,3.93541420941887e-05,TRUE,TRUE,TRUE,-2.42019636141062,2.19524696578139e-05,TRUE,TRUE,TRUE,TRUE,TRUE,NA
15,"Os04g0475600","DAO","Cluster15",-3.43709136103048,0.000927925107921241,TRUE,TRUE,TRUE,-2.88702242389573,1.73815585219439e-07,TRUE,TRUE,TRUE,TRUE,TRUE,NA
16,"Os03g0261100","_","Cluster15",-4.05810110897423,3.08301671671951e-06,TRUE,TRUE,TRUE,-3.40164470135278,2.3975428632104e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
17,"Os09g0456800","HSFB1","Cluster15",-1.89805864099656,0.0106817901640007,TRUE,TRUE,TRUE,-1.62488354397497,0.00087248506174702,TRUE,TRUE,TRUE,TRUE,TRUE,NA
18,"Os11g0156200","_","Cluster15",-2.33263247990456,0.00423104099268212,TRUE,TRUE,TRUE,-2.34494251656881,9.29839380054764e-08,TRUE,TRUE,TRUE,TRUE,TRUE,NA
19,"Os05g0529700","_","Cluster15",-4.41427197929464,0.0195472573442751,TRUE,TRUE,TRUE,-1.56931949891528,0.0485940134573903,TRUE,TRUE,TRUE,TRUE,TRUE,NA
20,"Os02g0695800","_","Cluster15",-2.70838797702588,6.4573274920564e-05,TRUE,TRUE,TRUE,-1.92422156757632,2.63085867824145e-06,TRUE,TRUE,TRUE,TRUE,TRUE,NA
21,"Os01g0591000","ALDH1A","Cluster15",-2.91377550269691,0.000457300732849485,TRUE,TRUE,TRUE,-2.78745222596016,1.79747718996939e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
22,"Os02g0823400","COMTL4","Cluster15",-3.09864279037247,5.67578203606587e-06,TRUE,TRUE,TRUE,-2.47844543674846,3.51841399009331e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
23,"Os07g0150700","CIPK23","Cluster15",-2.71713630877326,2.28656014343579e-05,TRUE,TRUE,TRUE,-1.91844504675952,3.0340791034762e-07,TRUE,TRUE,TRUE,TRUE,TRUE,NA
24,"Os11g0499600","DRP7","Cluster15",-4.02314220906001,3.73872333390952e-06,TRUE,TRUE,TRUE,-3.0336614379635,5.01251261513081e-08,TRUE,TRUE,TRUE,TRUE,TRUE,NA
25,"Os01g0112400","NIP4;1","Cluster15",-4.98767681002473,9.68239858131042e-07,TRUE,TRUE,TRUE,-3.58704999715381,3.59442636045174e-09,TRUE,TRUE,TRUE,TRUE,TRUE,NA
26,"Os01g0127500","TKPR2","Cluster15",-5.00682230095134,1.07236186354311e-05,TRUE,TRUE,TRUE,-2.81639003567206,0.000126214467399224,TRUE,TRUE,TRUE,TRUE,TRUE,NA
27,"Os06g0610800",NA,"Cluster15",-4.02849306336351,0.163715014313615,FALSE,FALSE,TRUE,-1.79486590599643,0.436989392990913,FALSE,FALSE,TRUE,FALSE,TRUE,NA
28,"Os03g0605300","SUB30","Cluster15",-4.21555706430911,0.000268003453666077,TRUE,TRUE,TRUE,-2.56760369940347,0.000313153827224657,TRUE,TRUE,TRUE,TRUE,TRUE,NA
29,"Os09g0493500","DFR2","Cluster15",-4.12405837512902,6.0370978103793e-05,TRUE,TRUE,TRUE,-2.11792379945577,0.000684846756491371,TRUE,TRUE,TRUE,TRUE,TRUE,NA
30,"Os04g0613200",NA,"Cluster15",-4.64209024274851,1.990417845909e-05,TRUE,TRUE,TRUE,-2.67856803793101,0.000104605927859917,TRUE,TRUE,TRUE,TRUE,TRUE,NA
31,"Os08g0135500",NA,"Cluster15",-4.37450927694882,2.4347222190962e-06,TRUE,TRUE,TRUE,-3.17962326624465,1.83569646484243e-07,TRUE,TRUE,TRUE,TRUE,TRUE,NA
32,"Os04g0645600",NA,"Cluster15",-2.47003799361641,9.11367441594271e-05,TRUE,TRUE,TRUE,-2.50675235029279,2.43435616864075e-08,TRUE,TRUE,TRUE,TRUE,TRUE,NA
33,"Os07g0664600","RMP8","Cluster15",-1.58249281337019,0.0326071574612676,TRUE,TRUE,TRUE,-0.82990210472741,0.105681213444762,FALSE,FALSE,TRUE,FALSE,TRUE,NA
34,"Os09g0530200","GH9B14","Cluster15",-2.23625305151653,0.073918668462232,FALSE,FALSE,FALSE,-2.37960904483566,0.000380646414277281,TRUE,TRUE,TRUE,FALSE,FALSE,NA
35,"Os08g0131100","CYP703A3","Cluster15",-4.07907980746173,6.47689234286599e-06,TRUE,TRUE,TRUE,-2.0816751834064,0.000109569391454673,TRUE,TRUE,TRUE,TRUE,TRUE,NA
36,"Os05g0428600","BIP4","Cluster15",-1.87346335967136,0.00507684458366627,TRUE,TRUE,TRUE,-1.94272525452377,5.93647199824714e-06,TRUE,TRUE,TRUE,TRUE,TRUE,NA
